ID,Citation_Type,Ref_Clean_citation,Para_text
ID_183520,Comparison,"Geys, Molenberghs, andRyan (1997)","In the above two simulations, we examine the performance of CL-BIC when univariate and pairwise likelihoods are involved in the composite likelihood formulation. In the third simulation, we will consider a less simple formulation involving conditional likelihoods which has been discussed by Geys, Molenberghs, andRyan (1997, 1999) and Hanfelt (2004), among others."
ID_184074,Comparison,Zhang 2007,"Alternative approaches to estimation are of interest, such as likelihood approximations for large spatial datasets (Stein, Chi, and Welty 2004;Fuentes 2007), and some of the recent developments for the linear model of coregionalization (LMC), namely GLS and the EM algorithm (Pelletier et al. 2004;Zhu, Eickhoff, and Yan 2005;Zhang 2007). Bayesian approaches have become popular over the past two decades (Handcock and Stein 1993;Berger, De Oliveira, and Sansó, 2001) and allow for extensions to multivariate settings (Schmidt and Gelfand 2003;Reich and Fuentes 2007)."
ID_184146,Technical basis,Chaudhuri 1992,"shows the relationship between the test and the estimate. The connection has been established in detail for the spatial sign score (Nevalainen, Larocque, andOja 2007a, 2007b) with clustered data, as well as for the spatial signed-rank score (Chaudhuri 1992) with independent observations. Now the asymptotic distributions of the weighted spatial median or the weighted spatial Hodges-Lehmann estimate, for example, are trivial."
ID_184490,Background,"Diggle, Liang, and Zeger 1994","Linear mixed models (LMM) (Searle, Casella, and McCulloch 1992) and their extension to generalized linear mixed models (GLMM) (McCulloch and Searle 2001) consist of some of the most useful models in statistics. They are widely used in various fields, for example, longitudinal data analysis (Diggle, Liang, and Zeger 1994), epidemiology (Clayton and Kaldor 1987) and ecology and environmental sciences (Clark and Gelfand 2006;Royle and Dorazio 2009). For theoretical discussion of LMM and GLMM, see McCulloch and Searle (2001). Most popular approaches to analyze these models are Bayesian, based on the Markov Chain Monte Carlo (MCMC) algorithm and noninformative priors. (Gilks, Richardson, and Spiegelhalter 1996;Spigelhalter et al. 2004). However, likelihood analysis for these models is difficult (McCulloch 1997;McCulloch and Searle 2001). Likelihood analysis, if used, is usually conducted using approximate likelihood (Breslow and Clayton 1993) or Monte Carlo estimation of the likelihood function (e.g., Mc-Culloch 1997;deValpine 2004)."
ID_184960,Background,"Peng, Dominici, and Louis 2006","An alternative approach is to study covariation of particulate matter and mortality across time within a predefined geographical location (e.g., county or city), as has been done in investigations of health effects associated with short-term exposures. Time series studies (see, e.g., Schwartz and Dockery 1992;Spix et al. 1993;Kelsall et al. 1997) estimate acute effects of short-term exposure to air pollutants, comparing dayto-day variations in mortality with those in air pollution concentrations. Multisite time series studies (Katsouyanni et al. 1997;Samet et al. 2000;Samoli et al. 2008;Wong et al. 2008) combine the evidence and statistical uncertainty across geographical locations (Dominici, Samet, and Zeger 2000;Dominici 2002). Due to the focus on short-term effects, time series studies do not allow an assessment of the years of life-time lost due to air pollution (Künzli et al. 2001). Potential confounders in time series studies are time-varying variables such as weather or seasonal effects, as well as slowly varying unmeasured factors. Typically, smooth functions of weather variables and calendar time are included in the regression model to account for temporal confounding. However, results have been found to be sensitive to the flexibility granted to these smooth functions (Samoli et al. 2001;Klemm and Mason 2003;Dominici, McDermott, and Hastie 2004;Peng, Dominici, and Louis 2006), and time series studies have also been criticized with regard to potential residual confounding (Vedal 1997;Lumley and Sheppard 2000;Moolgavkar 2005)."
ID_185055,Fundamental idea,Ma and Zhong (2008),"Several methods have been proposed to cluster time course data which include nonparametric smoothing-based approaches (James and Sugar 2003;Luan and Li 2004). Recently Ma et al. (2006) and Ma and Zhong (2008) successfully applied the nonparametric mixed-effects smoothing spline model under the framework of a mixture distribution to cluster time course gene expression data. We adopt this approach for the first step of our proposed procedure. Denote G i = (g i (t 1 ), . . . , g i (t n i )) T as the expression data vector for the ith gene. We assume the following mixture normal distribution with p components (clusters) for G i ,"
ID_185117,Technical basis,"Kim, Choi, and Oh's (2008)","Before we prove the main result, we state the following preliminary fact under Assumptions A and B and its proof can be found in Wu and Zhang (2006): The proof of Proposition A.1 can be completed following the spirit of theorem 1 of Kim, Choi, and Oh (2008). However, the proof for our case is more complex due to the fact that the SCAD estimator for the ODE model is not based on the observed iid data, instead it is derived from nonparametric smoothing estimates of the functional curves and their derivatives. Here only the key steps that are different from Kim, Choi, and Oh's (2008) proof are given. Details are omitted due to space limit, but can be obtained from the authors."
ID_185414,Technical basis,Beran and Dümbgen (1998),"Test. We propose a new nonparametric testing procedure based on the connection between testing and confidence interval. For univariate hypothesis testing, one can always use a confidence interval as a testing procedure by checking whether the confidence interval contains the null. We extend this idea to high-dimensional hypothesis testing based on the uniform confidence sets approach developed by Beran and Dümbgen (1998) and Genovese and Wasserman (2005)."
ID_185691,Background,Cohen et al. 2000,"Transcription, as the first step in gene expression, is critical in determining protein and enzyme abundance in a cell. Regulation of transcriptional activities of gene ensembles in a living genome is a fundamental biological problem. By effectively addressing it, one expects to uncover governing principles behind normal and pathological states of cells. Recent studies have shown that gene location on a chromosome plays a critical role in determining transcription profiles in both prokaryotes and eukaryotes (Willenbrock and Ussery 2004). Distinct patterns of subtle but coordinated expression changes across neighboring genes on a chromosome were observed in many organisms, including Escherichia coli (E. coli) (Jeong, Ahn, and Khodursky 2004), yeast (Cohen et al. 2000;Kruglyak and Tang 2000), worm (Roy et al. 2002), fly (Boutanaev et al. 2002;Spellman and Rubin 2002), mouse (Li, Lee, and Zhang 2005), and human (Caron et al. 2001;Versteeg et al. 2003;Yager et al. 2004). For example, Cohen et al. (2000) discovered spatial correlation between adjacent genes along a chromosome in yeast expression. Képès (2003Képès ( , 2004) ) revealed periodic epiorganization of the E. coli and yeast genomes by studying the distribution of transcriptional binding sites. Jeong, Ahn, and Khodursky (2004) demonstrated periodic patterns in E. coli expression using spectral analysis. Furthermore, several oncogenomic studies have revealed periodic patterns in gene expression and their clinical relevance in gastric cancer (Aggarwal et al. 2005), gliomas (Turkheimer et al. 2006), and breast cancer Guanghua Xiao is Assistant Professor, Division of Biostatistics, Department of Clinical Sciences, The University of Texas Southwestern Medical Center at Dallas, Dallas, TX 75390 (E-mail: Guanghua.Xiao@UTSouthwestern.edu). Xinlei Wang is Associate Professor, Department of Statistical Science, Southern Methodist University, Dallas, TX 75275 (E-mail: swang@smu.edu). Arkady B. Khodursky is Associate Professor, Department of Biochemistry, Molecular Biology, and Biophysics, The University of Minnesota, St. Paul, MN 55108 (E-mail: khodu001@umn.edu). This work was supported by NSF grants DMS-0907562, DMS-0906545, NIDA grant 1R21DA027592. The authors thank the associate editor and the referees for their valuable comments. (Hanin et al. 2009). These patterns are likely induced by threedimensional (3D) chromosome structures (Narlikar, Fan, and Kingston 2002;Khorasanizadeh 2004;Aggarwal et al. 2005). Therefore, evaluating possible 3D chromosome structures and their roles in transcriptional regulation is essential for our understanding of the biology of a cell (e.g., Tsankova et al. 2007;Renthal and Nestler 2008) and will be the focus of this article."
ID_185725,Background,Wei and Pan 2008,"Gene expression data analysis has been substantially improved by modeling correlation structures and borrowing strength among genes. SAM (Tusher, Tibshirani, and Chu 2001) and B-statistics (L<U+00F6>nnstedt and Speed 2002) borrow strength for variance structures to stabilize variable estimation. Pan and others (Pan 2006(Pan , 2009;;Wei and Pan 2008) incorporated biological information, network, pathway, or functional annotation into correlation structures. Xiao, Cavan, and Khodursky (2009) modeled expression correlation among adjacent genes along a linear chromosome. However, no study has modeled and incorporated spatial correlation within an internally consistent framework of a putative 3D chromosome structure."
