title,human,ChatGPT,author,deepseek
Bayesian Estimation Of Animal Abundance For Line Transect Sampling,This paper develops a Bayesian model for estimating the density of a closed animal population from data obtained by the line transect method. The detection function is assumed to be half-normal and the data are neither grouped nor truncated. A Bayes estimator is constructed with respect to a gamma prior density and two loss functions: relative squared error and absolute squared error. The Bayes estimator is compared with the maximum likelihood estimator as well as the Fourier series estimator using two data sets.,"In wildlife ecology, accurately estimating animal abundance is crucial for conservation and management efforts. This paper presents a Bayesian framework for estimating animal abundance using line transect sampling, a widely used method in ecological studies. Traditional approaches to line transect data often rely on frequentist methods, which can overlook uncertainty in model parameters and the structure of the underlying ecological processes. Our Bayesian model integrates observed line transect data with prior information about species detectability and habitat characteristics, allowing for a more robust estimation of abundance. We employ Markov Chain Monte Carlo (MCMC) techniques for parameter estimation and uncertainty quantification, facilitating the incorporation of various ecological covariates into the abundance model. We validate our approach using simulated datasets and apply it to real-world line transect surveys conducted in diverse habitats. Results demonstrate that the Bayesian methodology yields more reliable abundance estimates compared to conventional methods, highlighting enhanced predictive performance and greater transparency in uncertainty assessments. This work not only contributes to advancements in statistical methods for wildlife abundance estimation but also offers practical tools for ecologists in addressing complex challenges associated with line transect sampling in varying ecological contexts.",Rohana Karunamuni,"Accurate estimation of animal abundance is crucial for wildlife conservation and management. This paper presents a Bayesian framework for estimating animal abundance using line transect sampling, a widely used distance-based survey method. By incorporating prior information and accounting for detection probability, our approach improves precision and quantifies uncertainty through posterior distributions. We evaluate the method using simulated data and real-world case studies, demonstrating its robustness compared to traditional frequentist estimators. The Bayesian model also allows flexible integration of covariates, enhancing ecological inference. Our results highlight the advantages of Bayesian estimation in line transect sampling, offering a powerful tool for wildlife population assessments.  

**Keywords:** Bayesian inference, animal abundance, line transect sampling, distance sampling, wildlife monitoring."
Blocked Two-level Regular Factorial Designs With Weak Minimum Aberration,"This paper considers the construction of blocked two-level regular designs with weak minimum aberration. We first obtain the minimum value of the number of two-factor interactions which are aliased with the block effects. Based on this result, two methods are then proposed in two different scenarios to construct weak minimum aberration blocked two-level designs with respect to some existing combined wordlength patterns.","This paper investigates the construction and analysis of blocked two-level regular factorial designs characterized by weak minimum aberration. Regular factorial designs are widely utilized for their efficiency in examining the effects of multiple factors at two levels; however, variations in experimental conditions necessitate the incorporation of blocking to mitigate the impact of uncontrolled variables. We define weak minimum aberration as a criterion that seeks to balance design efficiency and robustness against the presence of potential interactions among factors. Building upon established methodologies, we present a systematic approach to constructing blocked designs that optimize this criterion while maintaining the flexibility to accommodate experimental constraints. We provide theoretical foundations along with practical examples to demonstrate the efficacy of our proposed designs. Through simulation studies, we compare our blocked designs against traditional approaches in terms of estimating main effects and interactions, highlighting their advantages in situations with varying degrees of blocking factors and interaction complexities. The findings underscore the potential of using weak minimum aberration in the development of experimental designs that are both effective and manageable, advancing the utility of factorial designs in complex experimental settings. The implications for future research and applications in various fields are also discussed.",Rohana Karunamuni,"This paper investigates the construction and properties of blocked two-level regular factorial designs with weak minimum aberration (WMA). We derive theoretical conditions under which WMA designs minimize confounding among effects while maintaining balance across blocks. By comparing WMA designs with traditional minimum aberration (MA) criteria, we demonstrate their advantages in scenarios where strict MA designs are infeasible or overly restrictive. Through analytical results and illustrative examples, we highlight the practical utility of WMA designs in experimental settings requiring efficient block structures. Our findings provide a flexible framework for experimenters to optimize design performance under blocking constraints.  

**Keywords:** Factorial designs, minimum aberration, weak minimum aberration, blocking, design efficiency."
Boundary Bias Correction For Nonparametric Deconvolution,"In this paper are consider the deconvolution problem in nonparametric density estimation. That is, one wishes to estimate the unknown density of a random variable X, say f(x), based on the observed variables Y's, where Y X epsilon with epsilon being the error. Previous results on this problem have considered the estimation of f(x) at interior points. Here we study the deconvolution problem for boundary points. A kernel-type estimator is proposed, and its mean squared error properties, including the rates of convergence, are investigated for supersmooth and ordinary smooth error distributions. Results of a simulation study are also presented.","In nonparametric deconvolution, the challenge of estimating the underlying distribution from observed data plagued by convolution effects is critically influenced by the presence of boundary bias, especially at the endpoints of the support. This paper introduces a robust boundary bias correction method specifically designed for nonparametric deconvolution, enhancing the accuracy of density estimations near the boundaries. We rigorously derive asymptotic properties of the proposed estimator and employ a bias-correction technique that adapts to the local structure of the target distribution. The effectiveness of the method is validated through comprehensive simulations, demonstrating significant improvements in estimation accuracy at boundaries compared to conventional approaches. Additionally, we apply our correction strategy to real-world datasets, illustrating its practical utility in various applications. The findings underscore the importance of accounting for boundary effects in nonparametric deconvolution and provide a pathway for more reliable statistical inference in this context.",Rohana Karunamuni,"Nonparametric deconvolution is a widely used technique for estimating probability densities from error-contaminated data. However, boundary bias remains a significant challenge, particularly when the underlying density has compact support. This paper introduces a novel boundary bias correction method for nonparametric deconvolution estimators, leveraging local polynomial adjustments and reflection techniques to mitigate distortion near boundaries. Theoretical analysis establishes the improved convergence rates of the proposed estimator, while simulation studies demonstrate its superior performance compared to conventional approaches. The method is applied to real-world datasets, confirming its practical utility in scenarios with bounded domains.  

**Keywords:** Nonparametric estimation, deconvolution, boundary bias, kernel smoothing, density estimation."
Empirical Bayes Sequential Estimation For Exponential Families: The Untruncated Component,"We consider the empirical Bayes decision problem where the component problem is the sequential estimation of the mean theta of one-parameter exponential family of distributions with squared error loss for the estimation error and a cost c 0 for each observation. The present paper studies the untruncated sequential component case. In particular, an untruncated asymptotically pointwise optimal sequential procedure is employed as the component. With sequential components, an empirical Bayes decision procedure selects both a stopping time and a terminal decision rule for use in the component with parameter theta. The goodness of the empirical Bayes sequential procedure is measured by comparing the asymptotic behavior of its Bayes risk with that of the component procedure as the number of past data increases to infinity. Asymptotic risk equivalence of the proposed empirical Bayes sequential procedure to the component procedure is demonstrated.","This paper presents a comprehensive investigation into the Empirical Bayes sequential estimation for exponential families, specifically focusing on the untruncated component of the model. We begin by establishing the theoretical framework for exponential family distributions and the principles of Empirical Bayes methods. Through rigorous statistical derivation, we demonstrate how sequential estimation techniques can be effectively employed to refine parameter estimates as new data becomes available, while leveraging prior information from the observed data. Our findings reveal that the proposed methodology not only enhances estimation accuracy but also optimizes decision-making processes in applications characterized by dynamic data environments. We conduct extensive simulations to compare the proposed Empirical Bayes approach against traditional methods, highlighting its practical advantages in terms of computational efficiency and robustness. Moreover, we illustrate the applicability of our results through several real-world case studies within various fields, such as biostatistics and quality control. The insights gained from this research aim to advance the understanding of sequential estimation in complex data settings and offer a solid foundation for future work in Bayesian statistical methodologies.",Rohana Karunamuni,"This paper explores empirical Bayes sequential estimation for exponential families, focusing on the untruncated component of the problem. We develop a framework for adaptive estimation where prior parameters are learned sequentially from observed data, leveraging the conjugate structure of exponential families. By avoiding truncation, our approach retains asymptotic efficiency while simplifying computational complexity. Theoretical guarantees on consistency and convergence rates are established, and simulations demonstrate improved performance over fixed-prior methods in sequential decision-making tasks. The results highlight the practical advantages of untruncated empirical Bayes in dynamic environments, offering a balance between flexibility and tractability.  

**Keywords:** Empirical Bayes, sequential estimation, exponential families, untruncated estimation, adaptive learning."
Empirical Bayes Detection Of A Change In Distribution,"The problem of detection of a change in distribution is considered. Shiryayev (1963, Theory Probab. Appl., 8, pp. 22-46, 247-264 and 402-413; 1978, Optimal Stopping Rules, Springer, New York) solved the problem in a Bayesian framework assuming that the prior on the change point is Geometric (p) Shiryayev showed that the Bayes solution prescribes stopping as soon as the posterior probability of the change having occurred exceeds a fixed level. In this paper, a myopic policy is studied. An empirical. Bayes stopping time is investigated for detecting a change in distribution when the prior is not completely known.","In this paper, we propose a novel Empirical Bayes approach for detecting changes in distribution within sequentially observed data. Traditional methods for change detection often rely heavily on parametric assumptions, which may not hold in practice, or require extensive computational resources. Our method leverages empirical Bayesian techniques to estimate prior distributions based on historical data, allowing for flexible modeling of the underlying distributions without assuming a specific parametric form. We introduce a probabilistic framework to identify the presence of a shift in distribution by comparing posterior predictive distributions before and after a change point. Through a comprehensive simulation study, we illustrate the effectiveness of our approach in detecting both abrupt and gradual changes in various settings, including Gaussian and non-Gaussian distributions. Additionally, we apply our method to real-world datasets, demonstrating its practical applicability and robustness against various noise levels and sample sizes. The results indicate that our Empirical Bayes method outperforms traditional change detection techniques, making it a valuable tool for statisticians and practitioners aiming to monitor shifts in data distributions effectively.",Rohana Karunamuni,"This paper presents an empirical Bayes approach for detecting a change in distribution within sequential data. By leveraging prior information from observed data, we develop a computationally efficient method to estimate the posterior probability of a changepoint while minimizing assumptions about the underlying distributions. Our framework adaptively updates hyperparameters, improving detection accuracy in both parametric and nonparametric settings. Theoretical guarantees on false discovery control are provided, and simulations demonstrate superior performance compared to classical changepoint detection methods, particularly in high-dimensional and sparse scenarios. Applications to real-world datasets illustrate the method's robustness and practical utility.  

**Keywords:** Empirical Bayes, changepoint detection, sequential analysis, distributional change, false discovery control."
Optimal Convergence Properties Of Kernel Density Estimators Without Differentiability Conditions,"Let X1, X2,., X(n) be independent observations from an (unknown) absolutely continuous univariate distribution with density f and let f triple-overdot (x) (nh)-1 SIGMA-i 1n K be a kernel estimator of f(x) at the point x, - infinity x infinity, with h h(n) (h(n) - 0 and nh(n) - infinity, as n - infinity) the bandwidth and K a kernel function of order r. Optimal'' rates of convergence to zero for the bias and mean square error of such estimators have been studied and established by several authors under varying conditions on K and f. These conditions, however, have invariably included the assumption of existence of the r-th order derivative for f at the point x. It is shown in this paper that these rates of convergence remain valid without any differentiability assumptions on f at x. Instead some simple regularity conditions are imposed on the density f at the point of interest. Our methods are based on certain results in the theory of semi-groups of linear operators and the notions and relations of calculus of finite differences''.","Kernel density estimation (KDE) is a widely used non-parametric technique for estimating probability density functions, particularly in high-dimensional data scenarios. Traditional convergence properties of KDEs often rely on certain differentiability conditions of the underlying density function. In this paper, we explore the optimal convergence properties of kernel density estimators when these differentiability conditions are relaxed. We establish new theoretical results that demonstrate the uniform convergence of KDEs under weaker assumptions, broadening the class of densities for which optimal convergence rates can be achieved. Our analysis employs advanced tools from empirical process theory and focuses on the interplay between bandwidth selection, kernel shape, and the underlying distribution's characteristics. We provide empirical evidence through simulation studies and real-data applications, illustrating the effectiveness and robustness of our proposed methods compared to standard KDE approaches. The results show that significant improvements in convergence rates can be obtained, allowing for more accurate density estimates across a broader range of applications. Our findings lay the groundwork for future research on KDEs in non-standard settings, promoting their utility in practical statistical analysis without the constraints of differentiability prerequisites.",Rohana Karunamuni,"This paper investigates the optimal convergence rates of kernel density estimators (KDEs) under minimal smoothness assumptions, eliminating traditional differentiability requirements on the underlying density. We establish non-asymptotic bounds on the mean integrated squared error (MISE) and prove that optimal rates can be achieved even when the density belongs to broader function classes, such as those characterized by Hölder or Sobolev conditions without strict differentiability. Our analysis leverages refined bias-variance trade-offs and novel kernel selection strategies, demonstrating robustness in settings where classical smoothness constraints fail. Theoretical results are complemented by simulations verifying the practical implications of our findings. This work extends the applicability of KDEs to a wider class of distributions while preserving statistical efficiency.  

**Keywords:** Kernel density estimation, convergence rates, nonparametric statistics, minimax optimality, weak differentiability."
On The Empirical Bayes Approach To Multiple Decision-problems With Sequential Components,"The empirical Bayes approach to multiple decision problems with a sequential decision problem as the component is studied. An empirical Bayes m-truncated sequential decision procedure is exhibited for general multiple decision problems. With a sequential component, an empirical Bayes sequential decision procedure selects both a stopping rule function and a terminal decision rule function for use in the component. Asymptotic results are presented for the convergence of the Bayes risk of the empirical Bayes sequential decision procedure.","In this paper, we explore the Empirical Bayes approach to tackle multiple decision problems characterized by sequential components. The objective is to provide a robust statistical framework that integrates prior knowledge with observed data to enhance decision-making efficacy. We begin by delineating the theoretical foundations of Empirical Bayes methods, highlighting their advantages in addressing complex decision-making scenarios involving sequentially dependent outcomes. Through a series of simulations and applications to real-world datasets, we demonstrate the effectiveness of our proposed methodology in achieving optimal decision policies while balancing exploration and exploitation. Additionally, we analyze the performance of various prior selection techniques and their impact on the overall decision quality. The results indicate that the Empirical Bayes approach not only improves predictive accuracy but also aids in the identification of key factors influencing sequential decisions. Our findings have significant implications for practitioners in fields such as healthcare, finance, and industrial processes, where multiple sequential decisions are commonplace. We conclude by discussing potential extensions of our work and the challenges of implementing these methods in practice.",Rohana Karunamuni,"This paper explores the empirical Bayes methodology for addressing multiple decision problems involving sequential components. We develop a framework that integrates empirical Bayes estimation with sequential decision-making, enabling adaptive updates based on observed data. Theoretical properties, including consistency and asymptotic optimality, are established under mild conditions. Simulation studies demonstrate the approach's efficiency in balancing computational tractability with statistical performance, particularly in high-dimensional settings. Applications to clinical trials and online A/B testing illustrate the practical utility of the proposed method. Our results highlight the advantages of empirical Bayes in sequential settings, offering a scalable alternative to fully Bayesian and frequentist approaches.  

**Keywords:** Empirical Bayes, sequential decision-making, multiple testing, adaptive estimation, high-dimensional inference."
On Empirical Bayes With Sequential Component,"Laippala (1979, Scand. J. Statist., 6, 113 118, correction note, 7, 105; 1985, Ann. Inst. Statist. Math., 37, 315 327) has defined a concept within the empirical Bayes framework that he calls floating optimal sample size . We examine this concept and show that it is one of many possibilities resulting from restricting the class of component sampling procedures in the empirical Bayes decision problem with a sequential component. All ideas are illustrated with the finite state component.","This paper investigates the application of Empirical Bayes methods in scenarios where data is collected sequentially, leading to the development of a Sequential Empirical Bayes framework. We delineate the challenges and advantages of integrating sequential data into the Empirical Bayes paradigm, providing a rigorous statistical foundation for adapting prior distributions as new observations become available. Our approach involves a series of formal derivations and theoretical results that establish the consistency and convergence of the Sequential Empirical Bayes estimators. We illustrate our methodology through several simulation studies and real-world applications, demonstrating improved estimation accuracy and adaptive modeling in comparison to traditional empirical or Bayesian methods. Additionally, we address practical considerations for implementing our framework, including computational efficiency and the selection of appropriate hyperparameters. The findings suggest that our Sequential Empirical Bayes approach is a powerful tool for dynamic inference in statistical modeling, particularly in fields requiring real-time analysis and decision-making.",Rohana Karunamuni,"This paper explores the integration of sequential decision-making components into Empirical Bayes (EB) methods, addressing scenarios where data arrives incrementally and prior distributions must be updated dynamically. We propose a framework for *Sequential Empirical Bayes* (SEB), combining EB’s shrinkage estimation with adaptive, data-driven updates to improve inference in streaming or multi-stage settings. Theoretical guarantees on consistency and regret bounds are established, and simulations demonstrate SEB’s advantages over static EB in terms of estimation accuracy and computational efficiency. Applications to online A/B testing and dynamic portfolio optimization highlight its practical utility. Our results bridge Bayesian adaptability with frequentist robustness, offering a scalable approach for sequential data analysis.  

**Keywords:** Empirical Bayes, sequential estimation, adaptive priors, dynamic updating, regret minimization."
Minimum Distance Estimation In A Finite Mixture Regression Model,"Finite mixture models provide a mathematical basis for the statistical modeling of a wide variety of random situations, and their importance for the statistical analysis of data is well documented. This article focuses on a finite mixture regression model and develops an estimator of the parameters in the model using a minimum-distance technique. In general, minimum-distance estimators are consistent and asymptotically normal when the data come from a member of the model family. Furthermore, it has been observed that they are automatically robust'' with respect to the stability of the quantity being estimated. In this paper, we employ the Hellinger distance approach introduced by Beran (1977) and construct a minimum Hellinger distance estimator for a finite mixture regression model. We study the asymptotic properties such as consistency and the asymptotic normality of the proposed estimator. The small-sample and robustness properties of the proposed estimator are also examined using a Monte Carlo study, and a computational algorithm is presented. (C) 2013 Elsevier Inc. All rights reserved.","In this paper, we propose a novel approach to parameter estimation in finite mixture regression models using Minimum Distance Estimation (MDE). Finite mixture models provide a flexible framework for capturing heterogeneity in data by representing it as a combination of several underlying distributions. Traditional estimation methods, such as maximum likelihood estimation, can be computationally intensive and sensitive to initial parameter choices. Our MDE method addresses these challenges by minimizing a distance metric between the empirical distribution of the observed data and the fitted mixture model. We derive the estimator's properties, including consistency and asymptotic normality, and demonstrate its robustness to model misspecifications. Through extensive simulation studies, we compare the performance of MDE against conventional methods in terms of bias, variance, and computational efficiency. We also apply our approach to real-world datasets, highlighting its practical utility in identifying latent subpopulations. Our findings indicate that MDE is a viable alternative for parameter estimation in finite mixture regression models, with potential implications for various fields including economics, biology, and social sciences.",Rohana Karunamuni,"This paper explores minimum distance estimation (MDE) for finite mixture regression models, a flexible framework for capturing heterogeneous subpopulations in regression settings. We propose a robust estimator based on minimizing the distance between empirical and model-implied distribution functions, extending classical MDE methods to mixture contexts. Theoretical properties, including consistency and asymptotic normality, are established under mild regularity conditions. Simulation studies demonstrate the estimator’s performance in comparison to maximum likelihood, particularly under misspecification or contaminated data. Applications to real-world datasets highlight its practical utility in identifying latent subgroups while mitigating sensitivity to outliers. The results suggest MDE as a viable alternative for robust inference in mixture regression.  

**Keywords:** Mixture regression, minimum distance estimation, robustness, latent heterogeneity, asymptotic properties."
Efficient Hellinger Distance Estimates For Semiparametric Models,"Minimum distance techniques have become increasingly important tools for solving statistical estimation and inference problems. In particular, the successful application of the Hellinger distance approach to fully parametric models is well known. The corresponding optimal estimators, known as minimum Hellinger distance estimators, achieve efficiency at the model density and simultaneously possess excellent robustness properties. For statistical models that are semiparametric, in that they have a potentially infinite dimensional unknown nuisance parameter, minimum distance methods have not been fully studied. In this paper, we extend the Hellinger distance approach to general semiparametric models and study minimum Hellinger distance estimators for semiparametric models. Asymptotic properties such as consistency, asymptotic normality, efficiency and adaptivity of the proposed estimators are investigated. Small sample and robustness properties of the proposed estimators are also examined using a Monte Carlo study. Two real data examples are analyzed as well. (C) 2012 Elsevier Inc. All rights reserved.","In this paper, we present novel methodologies for estimating the Hellinger distance in the context of semiparametric models, an area of increasing relevance in statistical theory and applications. Hellinger distance offers a robust measure for assessing the divergence between probability distributions, yet efficient estimation in semiparametric settings poses significant challenges due to the complexity of nonparametric components. Our approach leverages a combination of kernel smoothing techniques and projection-based estimators to obtain consistent and asymptotically normal estimates of the Hellinger distance. We establish the theoretical properties of our estimators, including their convergence rates and asymptotic distributions. Through extensive simulations and practical applications to real-world datasets, we demonstrate that our estimators outperform existing methods in terms of accuracy and computational efficiency. Furthermore, we provide guidelines for implementing our estimators in practice, illustrating their utility in various fields such as biostatistics, finance, and machine learning. Our work contributes to the growing body of literature on distance measures in statistical inference, offering valuable tools for practitioners dealing with semiparametric models.",Rohana Karunamuni,"This paper introduces efficient estimation methods for the Hellinger distance in semiparametric models, where the underlying distributions are specified only partially. We develop a robust and computationally tractable framework that leverages influence function theory to derive asymptotically efficient estimators. Our approach avoids restrictive parametric assumptions while maintaining optimal convergence rates. Theoretical guarantees are provided, along with simulations demonstrating superior performance compared to existing methods in finite-sample settings. The proposed estimators are applied to real-world data, showcasing their utility in model selection and goodness-of-fit testing.  

**Keywords:** Hellinger distance, semiparametric efficiency, influence functions, robust estimation, model selection."
