title,human,ChatGPT,author,Claude,deepseek
Bayesian Estimation Of Animal Abundance For Line Transect Sampling,This paper develops a Bayesian model for estimating the density of a closed animal population from data obtained by the line transect method. The detection function is assumed to be half-normal and the data are neither grouped nor truncated. A Bayes estimator is constructed with respect to a gamma prior density and two loss functions: relative squared error and absolute squared error. The Bayes estimator is compared with the maximum likelihood estimator as well as the Fourier series estimator using two data sets.,"This paper presents a Bayesian model for estimating the density of a closed animal population using data collected through the line transect method. We assume a half-normal detection function, and the data analyzed are neither grouped nor truncated. A Bayes estimator is developed based on a gamma prior density and evaluated under two loss functions: relative squared error and absolute squared error. We compare the performance of the Bayes estimator against both the maximum likelihood estimator and the Fourier series estimator, utilizing two distinct data sets for the analysis.",Rohana Karunamuni,"Here is my edited version of the abstract:

This paper presents a Bayesian approach for estimating the population density of a closed animal population using line transect data. The detection function is modeled as a half-normal distribution, and the data are analyzed without grouping or truncation. We construct a Bayes estimator using a gamma prior distribution and two loss functions: relative squared error and absolute squared error. The performance of the Bayes estimator is evaluated by comparing it to the maximum likelihood estimator and the Fourier series estimator, using two empirical data sets.","This paper presents a Bayesian approach for estimating closed animal population density using line transect data. The model assumes a half-normal detection function and works with ungrouped, untruncated data. We derive a Bayes estimator using a gamma prior density and evaluate it under two loss functions: relative squared error and absolute squared error. The performance of this estimator is compared against maximum likelihood and Fourier series estimators through two empirical datasets."
Blocked Two-level Regular Factorial Designs With Weak Minimum Aberration,"This paper considers the construction of blocked two-level regular designs with weak minimum aberration. We first obtain the minimum value of the number of two-factor interactions which are aliased with the block effects. Based on this result, two methods are then proposed in two different scenarios to construct weak minimum aberration blocked two-level designs with respect to some existing combined wordlength patterns.","This paper explores the development of blocked two-level regular designs characterized by weak minimum aberration. We begin by determining the minimum number of two-factor interactions that are confounded with block effects. Building on this foundation, we introduce two methods for constructing weak minimum aberration blocked two-level designs tailored to specific combined wordlength patterns in distinct scenarios.",Rohana Karunamuni,"This paper investigates the construction of blocked two-level regular designs with minimal aliasing between block effects and two-factor interactions. First, we determine the minimum number of two-factor interactions that are confounded with the block effects. Based on this finding, we then propose two approaches to construct weak minimum aberration blocked two-level designs, considering existing combined wordlength patterns.","This paper examines the construction of blocked two-level regular designs exhibiting weak minimum aberration. We first determine the minimum number of two-factor interactions aliased with block effects. Building on this finding, two approaches are subsequently developed for distinct scenarios to construct weak minimum aberration blocked two-level designs, evaluated against established combined wordlength patterns."
Boundary Bias Correction For Nonparametric Deconvolution,"In this paper are consider the deconvolution problem in nonparametric density estimation. That is, one wishes to estimate the unknown density of a random variable X, say f(x), based on the observed variables Y's, where Y X epsilon with epsilon being the error. Previous results on this problem have considered the estimation of f(x) at interior points. Here we study the deconvolution problem for boundary points. A kernel-type estimator is proposed, and its mean squared error properties, including the rates of convergence, are investigated for supersmooth and ordinary smooth error distributions. Results of a simulation study are also presented.","In this paper, we address the deconvolution problem in nonparametric density estimation. Specifically, we aim to estimate the unknown density of a random variable (X ), denoted as (f(x) ), based on observed variables (Y ), where (Y X ) and ( ) represents the error term. Previous research has primarily focused on estimating (f(x) ) at interior points. In contrast, we explore the deconvolution problem at boundary points. We propose a kernel-type estimator and investigate its mean squared error properties, including convergence rates for both supersmooth and ordinary smooth error distributions. Additionally, we present results from a simulation study to support our findings.",Rohana Karunamuni,"In this paper, we address the deconvolution problem in nonparametric density estimation. The goal is to estimate the unknown density of a random variable X, denoted as f(x), based on the observed variables Y, where Y = X + ε, and ε represents the error term. Previous research has focused on estimating f(x) at interior points. In this work, we investigate the deconvolution problem for boundary points. We propose a kernel-type estimator and analyze its mean squared error properties, including the rates of convergence, for both supersmooth and ordinary smooth error distributions. Additionally, we present the results of a simulation study.","This paper examines the deconvolution problem in nonparametric density estimation, where the goal is to estimate the unknown density \( f(x) \) of a random variable \( X \) from observed variables \( Y = X + \epsilon \), with \( \epsilon \) representing measurement error. While prior work has focused on estimating \( f(x) \) at interior points, we study deconvolution for boundary points. We propose a kernel-based estimator and analyze its mean squared error properties, including convergence rates, for both supersmooth and ordinary smooth error distributions. A simulation study is also included to illustrate the results."
Empirical Bayes Sequential Estimation For Exponential Families: The Untruncated Component,"We consider the empirical Bayes decision problem where the component problem is the sequential estimation of the mean theta of one-parameter exponential family of distributions with squared error loss for the estimation error and a cost c 0 for each observation. The present paper studies the untruncated sequential component case. In particular, an untruncated asymptotically pointwise optimal sequential procedure is employed as the component. With sequential components, an empirical Bayes decision procedure selects both a stopping time and a terminal decision rule for use in the component with parameter theta. The goodness of the empirical Bayes sequential procedure is measured by comparing the asymptotic behavior of its Bayes risk with that of the component procedure as the number of past data increases to infinity. Asymptotic risk equivalence of the proposed empirical Bayes sequential procedure to the component procedure is demonstrated.","We investigate the empirical Bayes decision problem where the core task involves the sequential estimation of the mean ( ) from a one-parameter exponential family of distributions, employing squared error loss and incurring a cost (c 0 ) for each observation. This paper focuses on the scenario of untruncated sequential estimation. Specifically, we utilize an untruncated, asymptotically pointwise optimal sequential procedure as the basis for our analysis. In this framework, the empirical Bayes decision procedure determines both a stopping time and a terminal decision rule tailored to the component with parameter ( ). We assess the effectiveness of the empirical Bayes sequential procedure by comparing the asymptotic behavior of its Bayes risk to that of the component procedure as the number of accumulated observations approaches infinity. We demonstrate the asymptotic risk equivalence of the proposed empirical Bayes sequential procedure and the corresponding component procedure.",Rohana Karunamuni,"Here is a lightly edited version of the abstract, maintaining a similar length and rephrasing the key points:

This study examines the empirical Bayes decision problem, where the component problem involves the sequential estimation of the mean theta of a one-parameter exponential family distribution. The estimation error is measured using squared loss, and a cost c0 is incurred for each observation. The paper focuses on the untruncated sequential component case. Specifically, an untruncated asymptotically pointwise optimal sequential procedure is employed as the component. In the empirical Bayes framework, the decision procedure selects both a stopping time and a terminal decision rule for use in the component with parameter theta. The performance of the empirical Bayes sequential procedure is evaluated by comparing the asymptotic behavior of its Bayes risk to that of the component procedure as the amount of past data increases without bound. The analysis demonstrates the asymptotic risk equivalence of the proposed empirical Bayes sequential procedure to the component procedure.","We examine the empirical Bayes decision problem involving sequential estimation of the mean theta for a one-parameter exponential family, using squared error loss for estimation and a cost c > 0 per observation. This paper focuses on the untruncated sequential component scenario. Specifically, we employ an asymptotically pointwise optimal untruncated sequential procedure as the component. For sequential components, an empirical Bayes approach selects both a stopping time and a terminal decision rule for the component with parameter theta. The procedure's performance is evaluated by comparing its asymptotic Bayes risk to that of the component procedure as historical data grows indefinitely. We show the proposed empirical Bayes sequential procedure achieves asymptotic risk equivalence with the component procedure."
Empirical Bayes Detection Of A Change In Distribution,"The problem of detection of a change in distribution is considered. Shiryayev (1963, Theory Probab. Appl., 8, pp. 22-46, 247-264 and 402-413; 1978, Optimal Stopping Rules, Springer, New York) solved the problem in a Bayesian framework assuming that the prior on the change point is Geometric (p) Shiryayev showed that the Bayes solution prescribes stopping as soon as the posterior probability of the change having occurred exceeds a fixed level. In this paper, a myopic policy is studied. An empirical. Bayes stopping time is investigated for detecting a change in distribution when the prior is not completely known.","This paper addresses the problem of detecting a change in distribution. Building upon the foundational work of Shiryayev (1963, Theory Probab. Appl., 8, pp. 22-46, 247-264, and 402-413; 1978, Optimal Stopping Rules, Springer, New York), who approached the issue within a Bayesian framework with a Geometric(p) prior on the change point, we explore an alternative strategy. Shiryayev demonstrated that the optimal Bayesian solution dictates stopping as soon as the posterior probability of a change occurring surpasses a predetermined threshold. In contrast, our study examines a myopic policy and investigates the empirical Bayes stopping time for detecting changes in distribution when the prior information is incomplete.",Rohana Karunamuni,"The problem of identifying a shift in distribution is examined. Shiryayev (1963, 1978) addressed this issue within a Bayesian framework, assuming a Geometric (p) prior on the change point. Shiryayev demonstrated that the optimal Bayesian strategy prescribes stopping as soon as the posterior probability of the change exceeding a fixed threshold. This study explores a myopic policy and an empirical Bayes stopping time for detecting a distributional change when the prior is not fully specified.","The problem of detecting a distributional change is examined. Shiryayev (1963, *Theory Probab. Appl.*, 8, pp. 22–46, 247–264, 402–413; 1978, *Optimal Stopping Rules*, Springer, New York) addressed this in a Bayesian framework, assuming a Geometric (p) prior on the change point. He demonstrated that the Bayes solution involves stopping once the posterior probability of the change exceeds a fixed threshold. This paper studies a myopic policy and investigates an empirical Bayes stopping time for detecting distributional shifts when the prior is partially unknown."
Optimal Convergence Properties Of Kernel Density Estimators Without Differentiability Conditions,"Let X1, X2,., X(n) be independent observations from an (unknown) absolutely continuous univariate distribution with density f and let f triple-overdot (x) (nh)-1 SIGMA-i 1n K be a kernel estimator of f(x) at the point x, - infinity x infinity, with h h(n) (h(n) - 0 and nh(n) - infinity, as n - infinity) the bandwidth and K a kernel function of order r. Optimal'' rates of convergence to zero for the bias and mean square error of such estimators have been studied and established by several authors under varying conditions on K and f. These conditions, however, have invariably included the assumption of existence of the r-th order derivative for f at the point x. It is shown in this paper that these rates of convergence remain valid without any differentiability assumptions on f at x. Instead some simple regularity conditions are imposed on the density f at the point of interest. Our methods are based on certain results in the theory of semi-groups of linear operators and the notions and relations of calculus of finite differences''.","Let X1, X2, ., X(n) be independent observations drawn from an unknown absolutely continuous univariate distribution with density f. The kernel estimator ( f }(x) (nh) _ n K ( ) ) estimates f(x) at the point x, where ( - x ), h h(n) (with ( h(n) 0 ) and ( nh(n) ) as ( n )) is the bandwidth, and K is a kernel function of order r. Researchers have extensively studied and established the ""optimal"" rates of convergence to zero for the bias and mean square error of such estimators under various conditions on K and f. Notably, these conditions have typically included the requirement that the r-th order derivative of f exists at the point x. In this paper, we demonstrate that these convergence rates hold true even in the absence of differentiability assumptions for f at x. Instead, we impose simple regularity conditions on the density f at the point of interest. Our approach leverages results from the theory of semi-groups of linear operators and the concepts and relationships found in the calculus of finite differences.",Rohana Karunamuni,"Here is a lightly edited version of the abstract, preserving the overall length and key information while rephrasing and slightly modifying the content:

This study examines a kernel estimator of an unknown, absolutely continuous univariate density function f at a point x, where X1, X2, ..., Xn are independent observations from this distribution. The kernel estimator is defined as f_triple-overdot(x) = (nh)^-1 Σ_i=1^n K(x), where h = h(n) is the bandwidth, and K is a kernel function of order r. Previous work has established optimal rates of convergence for the bias and mean square error of such estimators, but these results have relied on the assumption that the density function f possesses an r-th order derivative at the point x. 

In this paper, we show that these optimal rates of convergence can be achieved without any differentiability assumptions on f at x. Instead, we impose some simple regularity conditions on the density function at the point of interest. Our analysis draws upon results from the theory of semi-groups of linear operators and the concepts and relations of calculus of finite differences.","Let \( X_1, X_2, \dots, X_n \) be independent observations from an unknown absolutely continuous univariate distribution with density \( f \), and let \( \hat{f}(x) = (nh)^{-1} \sum_{i=1}^n K \) be a kernel estimator of \( f(x) \) at point \( x \), where \( -\infty < x < \infty \). Here, \( h = h(n) \) (with \( h(n) \to 0 \) and \( nh(n) \to \infty \) as \( n \to \infty \)) \) is the bandwidth, and \( K \) is a kernel function of order \( r \).  

Optimal convergence rates for the bias and mean square error of such estimators have been established by various authors under differing conditions on \( K \) and \( f \). These conditions, however, have always assumed the existence of the \( r \)-th order derivative of \( f \) at \( x \). This paper demonstrates that these convergence rates hold even without differentiability assumptions on \( f \) at \( x \). Instead, we impose simpler regularity conditions on \( f \) at the point of interest. Our approach relies on results from the theory of semi-groups of linear operators and concepts from finite difference calculus."
On The Empirical Bayes Approach To Multiple Decision-problems With Sequential Components,"The empirical Bayes approach to multiple decision problems with a sequential decision problem as the component is studied. An empirical Bayes m-truncated sequential decision procedure is exhibited for general multiple decision problems. With a sequential component, an empirical Bayes sequential decision procedure selects both a stopping rule function and a terminal decision rule function for use in the component. Asymptotic results are presented for the convergence of the Bayes risk of the empirical Bayes sequential decision procedure.","This study examines the empirical Bayes approach to multi-decision problems, focusing on the integration of sequential decision components. We introduce an empirical Bayes m-truncated sequential decision procedure tailored for general multiple decision scenarios. This approach involves selecting both a stopping rule function and a terminal decision rule function specifically for the sequential component. Additionally, we provide asymptotic results demonstrating the convergence of the Bayes risk associated with the empirical Bayes sequential decision procedure.",Rohana Karunamuni,"The article examines the empirical Bayes approach to multiple decision problems with a sequential decision problem as a component. An empirical Bayes m-truncated sequential decision procedure is presented for general multiple decision problems. When a sequential component is involved, the empirical Bayes sequential decision procedure selects both a stopping rule function and a terminal decision rule function for use in the component. The paper also presents asymptotic results on the convergence of the Bayes risk of the empirical Bayes sequential decision procedure.","The empirical Bayes method for multiple decision problems, particularly those with a sequential component, is examined. An empirical Bayes m-truncated sequential decision approach is introduced for general multiple decision settings. When dealing with a sequential component, this procedure simultaneously determines both a stopping rule function and a terminal decision rule function. Asymptotic convergence results are provided for the Bayes risk of the empirical Bayes sequential decision method."
On Empirical Bayes With Sequential Component,"Laippala (1979, Scand. J. Statist., 6, 113 118, correction note, 7, 105; 1985, Ann. Inst. Statist. Math., 37, 315 327) has defined a concept within the empirical Bayes framework that he calls floating optimal sample size . We examine this concept and show that it is one of many possibilities resulting from restricting the class of component sampling procedures in the empirical Bayes decision problem with a sequential component. All ideas are illustrated with the finite state component.","In his works (Laippala, 1979, Scand. J. Statist., 6, 113 118; correction note, 7, 105; 1985, Ann. Inst. Statist. Math., 37, 315 327), Laippala introduces the notion of ""floating optimal sample size"" within the empirical Bayes framework. In this study, we explore this concept further and demonstrate that it is just one of several options that emerge when the class of component sampling procedures is restricted in the empirical Bayes decision problem, particularly in a sequential context. All concepts are illustrated using the finite state component.",Rohana Karunamuni,"Laippala (1979, 1985) introduced a concept within the empirical Bayes framework, which he termed the ""floating optimal sample size."" This study examines this concept and demonstrates that it is one of several possibilities arising from restricting the class of component sampling procedures in the empirical Bayes decision problem with a sequential component. The finite state component is used to illustrate these ideas.","Laippala (1979, Scand. J. Statist., 6, 113–118; correction note, 7, 105; 1985, Ann. Inst. Statist. Math., 37, 315–327) introduced a concept called *floating optimal sample size* within the empirical Bayes framework. We analyze this idea and demonstrate that it emerges from limiting the class of component sampling procedures in the empirical Bayes decision problem involving a sequential component. All concepts are illustrated using the finite state component."
Minimum Distance Estimation In A Finite Mixture Regression Model,"Finite mixture models provide a mathematical basis for the statistical modeling of a wide variety of random situations, and their importance for the statistical analysis of data is well documented. This article focuses on a finite mixture regression model and develops an estimator of the parameters in the model using a minimum-distance technique. In general, minimum-distance estimators are consistent and asymptotically normal when the data come from a member of the model family. Furthermore, it has been observed that they are automatically robust'' with respect to the stability of the quantity being estimated. In this paper, we employ the Hellinger distance approach introduced by Beran (1977) and construct a minimum Hellinger distance estimator for a finite mixture regression model. We study the asymptotic properties such as consistency and the asymptotic normality of the proposed estimator. The small-sample and robustness properties of the proposed estimator are also examined using a Monte Carlo study, and a computational algorithm is presented. (C) 2013 Elsevier Inc. All rights reserved.","Finite mixture models offer a robust mathematical framework for statistically modeling a diverse array of random phenomena, and their significance in data analysis is well established. This article zeroes in on a finite mixture regression model, developing a parameter estimator through a minimum-distance technique. Typically, minimum-distance estimators have the desirable properties of consistency and asymptotic normality when the data originates from within the model family. Moreover, they demonstrate ""automatic robustness"" with respect to the stability of the estimated quantity. Here, we utilize the Hellinger distance method introduced by Beran (1977) and construct a minimum Hellinger distance estimator specifically for the finite mixture regression model. We analyze the asymptotic properties of the proposed estimator, including its consistency and asymptotic normality. Additionally, we investigate the small-sample performance and robustness of the estimator through a Monte Carlo simulation study, accompanied by a computational algorithm. (C) 2013 Elsevier Inc. All rights reserved.",Rohana Karunamuni,"Finite mixture models provide a solid mathematical foundation for the statistical modeling of a wide range of random phenomena, and their importance in the statistical analysis of data is well established. This paper focuses on a finite mixture regression model and develops an estimator of the model parameters using a minimum-distance technique. Minimum-distance estimators are generally consistent and asymptotically normal when the data come from a member of the model family, and they are inherently robust to the stability of the quantity being estimated. In this study, we employ the Hellinger distance approach introduced by Beran (1977) to construct a minimum Hellinger distance estimator for a finite mixture regression model. We investigate the asymptotic properties, such as consistency and asymptotic normality, of the proposed estimator. Additionally, we examine the small-sample and robustness characteristics of the proposed estimator through a Monte Carlo simulation, and present a computational algorithm. (C) 2013 Elsevier Inc. All rights reserved.","Finite mixture models offer a mathematical framework for statistically modeling diverse random scenarios, and their significance in data analysis is well established. This paper examines a finite mixture regression model and introduces a parameter estimator based on a minimum-distance approach. Typically, minimum-distance estimators are consistent and asymptotically normal when the data originate from the model family. Additionally, they exhibit inherent robustness concerning the stability of the estimated quantity. Here, we adopt the Hellinger distance method proposed by Beran (1977) to develop a minimum Hellinger distance estimator for finite mixture regression. We investigate asymptotic properties, including consistency and normality, of this estimator. A Monte Carlo simulation assesses its small-sample performance and robustness, and we provide a computational algorithm. (C) 2013 Elsevier Inc. All rights reserved."
Efficient Hellinger Distance Estimates For Semiparametric Models,"Minimum distance techniques have become increasingly important tools for solving statistical estimation and inference problems. In particular, the successful application of the Hellinger distance approach to fully parametric models is well known. The corresponding optimal estimators, known as minimum Hellinger distance estimators, achieve efficiency at the model density and simultaneously possess excellent robustness properties. For statistical models that are semiparametric, in that they have a potentially infinite dimensional unknown nuisance parameter, minimum distance methods have not been fully studied. In this paper, we extend the Hellinger distance approach to general semiparametric models and study minimum Hellinger distance estimators for semiparametric models. Asymptotic properties such as consistency, asymptotic normality, efficiency and adaptivity of the proposed estimators are investigated. Small sample and robustness properties of the proposed estimators are also examined using a Monte Carlo study. Two real data examples are analyzed as well. (C) 2012 Elsevier Inc. All rights reserved.","Minimum distance techniques have emerged as crucial tools for addressing statistical estimation and inference challenges. Notably, the application of the Hellinger distance approach in fully parametric models has been well-documented. The resulting optimal estimators, termed minimum Hellinger distance estimators, not only achieve efficiency at the model density but also exhibit exceptional robustness properties. However, the application of minimum distance methods in semiparametric models characterized by potentially infinite-dimensional nuisance parameters remains underexplored. This paper aims to broaden the scope of the Hellinger distance approach to encompass general semiparametric models, focusing on the development of minimum Hellinger distance estimators. We investigate the asymptotic properties of these estimators, including consistency, asymptotic normality, efficiency, and adaptability. Additionally, we conduct a Monte Carlo study to assess their small sample and robustness characteristics. We also present analyses of two real data sets to illustrate the practical applicability of our findings. (C) 2012 Elsevier Inc. All rights reserved.",Rohana Karunamuni,"Minimum distance techniques have become increasingly important in statistical estimation and inference. The successful application of the Hellinger distance approach to fully parametric models is well-established. The resulting minimum Hellinger distance estimators achieve efficiency at the model density while also exhibiting excellent robustness properties. However, for semiparametric models with potentially infinite-dimensional nuisance parameters, minimum distance methods have not been thoroughly explored. This paper extends the Hellinger distance approach to general semiparametric models and investigates the properties of minimum Hellinger distance estimators in this context. Asymptotic properties such as consistency, asymptotic normality, efficiency, and adaptivity of the proposed estimators are examined. Additionally, a Monte Carlo study is conducted to assess the small-sample and robustness characteristics of the proposed estimators. The paper also includes analyses of two real-world data examples.","Minimum distance techniques have grown into essential tools for statistical estimation and inference. The effectiveness of Hellinger distance methods in fully parametric models is well established, producing optimal estimators that combine efficiency at the model density with strong robustness. However, for semiparametric models—which include potentially infinite-dimensional nuisance parameters—minimum distance approaches remain understudied. This work generalizes the Hellinger distance framework to semiparametric settings, analyzing the properties of these estimators. We establish their consistency, asymptotic normality, efficiency, and adaptivity, while also evaluating small-sample performance and robustness through simulations. Two real-world applications further demonstrate the method’s utility. (C) 2012 Elsevier Inc. All rights reserved."
